Price,price,Return,Volatility,Regime,Market Regime
Ticker,MSFT,,,,
Date,,,,,
2015-04-17,35.92110824584961,-0.01280848218081354,0.00988754084028282,1,Bullish
2015-04-20,37.034481048583984,0.03099494578826123,0.01729790135884519,0,Neutral
2015-04-21,36.801448822021484,-0.006292304359734269,0.01780149424438906,0,Neutral
2015-04-22,37.10353088378906,0.008208428511293109,0.017134774895765145,0,Neutral
2015-04-23,37.40559768676758,0.008141187530766647,0.016870477459613273,0,Neutral
2015-04-24,41.31531524658203,0.10452225874197252,0.044216658653805516,2,Bearish
2015-04-27,41.45341491699219,0.0033425781598406257,0.04562948362388678,2,Bearish
2015-04-28,42.428688049316406,0.02352696718176639,0.04259620104815215,2,Bearish
2015-04-29,42.342384338378906,-0.002034088606208795,0.04409881056001167,2,Bearish
2015-04-30,41.97989273071289,-0.008560963519889775,0.04649905951253681,2,Bearish
2015-05-01,41.99715042114258,0.0004110942002732987,0.012109973775084168,0,Neutral
2015-05-04,41.634666442871094,-0.008631156510299776,0.013239820122514592,0,Neutral
2015-05-05,41.08229064941406,-0.013267208330225766,0.005528498983773266,0,Neutral
2015-05-06,39.943031311035156,-0.027731154236287803,0.010311403214366213,0,Neutral
2015-05-07,40.3055305480957,0.009075406276448428,0.013962200792839937,0,Neutral
2015-05-08,41.21175003051758,0.022483750247140444,0.019634835233310943,0,Neutral
2015-05-11,40.8837890625,-0.00795794810399264,0.019594096687244218,0,Neutral
2015-05-12,40.86653518676758,-0.00042202242326527806,0.01881662760376598,0,Neutral
2015-05-13,41.10818862915039,0.005913235396111105,0.011369714393562188,1,Bullish
2015-05-14,42.04893493652344,0.022884645097350553,0.013780320301036438,1,Bullish
2015-05-15,41.686431884765625,-0.008620980586191873,0.0129293094628173,1,Bullish
2015-05-18,41.43614196777344,-0.006004109866828311,0.012563890286803825,1,Bullish
2015-05-19,41.331912994384766,-0.0025154121122022977,0.012729811287915917,1,Bullish
2015-05-20,41.331912994384766,0.0,0.01258775085351295,1,Bullish
2015-05-21,41.19291305541992,-0.003363017312644767,0.0033139462738321136,1,Bullish
2015-05-22,40.7412109375,-0.010965529854910061,0.0041690080080817584,1,Bullish
2015-05-26,40.47191619873047,-0.006609885483832345,0.004229481286421275,1,Bullish
2015-05-27,41.35797119140625,0.021893082312311574,0.012790309793864226,1,Bullish
2015-05-28,41.2189826965332,-0.003360621685957521,0.012890756451098757,1,Bullish
2015-05-29,40.706451416015625,-0.012434350558600427,0.01398929616631543,1,Bullish
2015-06-01,41.027870178222656,0.007896015275862922,0.013604651307077067,1,Bullish
2015-06-02,40.75857925415039,-0.00656360963663194,0.013597788616428972,1,Bullish
2015-06-03,40.69776916503906,-0.001491958017774575,0.007460754790334754,1,Bullish
2015-06-04,40.272117614746094,-0.010458842315578809,0.008145069230590826,1,Bullish
2015-06-05,40.08100128173828,-0.004745624127245662,0.006934545469894107,1,Bullish
2015-06-08,39.72484588623047,-0.008885890674345087,0.003517889932920475,1,Bullish
2015-06-09,39.655357360839844,-0.001749245940176447,0.004085044000407624,1,Bullish
2015-06-10,40.489288330078125,0.021029465493149102,0.012762622963414707,1,Bullish
2015-06-11,40.341617584228516,-0.0036471558760372558,0.011824537920404263,1,Bullish
2015-06-12,39.93333053588867,-0.010120740634343428,0.012626482869565695,1,Bullish
2015-06-15,39.50768280029297,-0.010658959067117335,0.012935853790716984,1,Bullish
2015-06-16,39.81172180175781,0.007695693088398237,0.013482503241810188,1,Bullish
2015-06-17,39.93333053588867,0.003054596199993709,0.008069837395047338,1,Bullish
2015-06-18,40.5848274230957,0.01631461434506498,0.011649709577633373,1,Bullish
2015-06-19,40.04625701904297,-0.013270240093376628,0.01247464471744612,1,Bullish
2015-06-22,40.15918731689453,0.0028199963306898557,0.010765258452549139,1,Bullish
2015-06-23,39.88121795654297,-0.006921687885716343,0.011254563398942291,1,Bullish
2015-06-24,39.646663665771484,-0.005881322155884772,0.011435570194012179,1,Bullish
2015-06-25,39.655357360839844,0.00021927936084731314,0.006334166334953145,1,Bullish
2015-06-26,39.316566467285156,-0.008543382687789092,0.004910688778935539,1,Bullish
2015-06-29,38.54343795776367,-0.01966419194221336,0.007235874370555056,1,Bullish
2015-06-30,38.352333068847656,-0.004958169251155775,0.00737176886707476,1,Bullish
2015-07-01,38.6129264831543,0.006794721297367801,0.00992077190848291,1,Bullish
2015-07-02,38.56950378417969,-0.0011245637906661665,0.009753008536170622,1,Bullish
2015-07-06,38.560813903808594,-0.00022530443792379007,0.009813156561569388,1,Bullish
2015-07-07,38.482627868652344,-0.0020276033423798356,0.004350384303676723,1,Bullish
2015-07-08,38.430511474609375,-0.0013542836580924256,0.003625525377746537,1,Bullish
2015-07-09,38.67374038696289,0.0063290573822889495,0.003420795151137921,1,Bullish
2015-07-10,38.751914978027344,0.0020213868708391924,0.00337784340990543,1,Bullish
2015-07-13,39.55979537963867,0.02084749623520299,0.009373001220389808,1,Bullish
2015-07-14,39.629295349121094,0.001756833391463708,0.008781284288554056,1,Bullish
2015-07-15,39.75090026855469,0.0030685612338623436,0.008058320803163465,1,Bullish
2015-07-16,40.532718658447266,0.01966794172234243,0.009866592636859163,1,Bullish
2015-07-17,40.49797439575195,-0.000857190532618568,0.010475262002448768,1,Bullish
2015-07-20,40.75857925415039,0.006435009708183559,0.008071860223299034,1,Bullish
2015-07-21,41.07130813598633,0.007672713022844002,0.0077175985656174825,1,Bullish
2015-07-22,39.55979537963867,-0.036802157636252164,0.02144309206435226,0,Neutral
2015-07-23,40.05494689941406,0.012516533895679416,0.019923117408308644,0,Neutral
2015-07-24,39.90726852416992,-0.0036868947951670394,0.0199153771192635,0,Neutral
2015-07-27,39.39472579956055,-0.012843342668239832,0.019549833390781625,0,Neutral
2015-07-28,39.38606643676758,-0.00021981020599126655,0.018390691412253517,0,Neutral
2015-07-29,40.211307525634766,0.020952615062285407,0.013401147243628486,0,Neutral
2015-07-30,40.72382736206055,0.012745664539733026,0.013440689063720411,1,Bullish
2015-07-31,40.56747055053711,-0.003839442941679483,0.013460926168563118,1,Bullish
2015-08-03,40.66302490234375,0.0023554426862182343,0.010211177457417907,1,Bullish
2015-08-04,41.29716873168945,0.01559509728724473,0.010097193117820768,1,Bullish
2015-08-05,41.331912994384766,0.0008413231163872936,0.008264676367212053,1,Bullish
2015-08-06,40.49797439575195,-0.02017662716811852,0.012901958498800374,1,Bullish
2015-08-07,40.60221862792969,0.0025740604001336376,0.012873443400168874,1,Bullish
2015-08-10,41.114742279052734,0.012623045450292025,0.014059926421541535,1,Bullish
2015-08-11,40.31553649902344,-0.019438423682798578,0.01449527567200672,1,Bullish
2015-08-12,40.60221862792969,0.007110959044615228,0.015342547445712293,1,Bullish
2015-08-13,40.593528747558594,-0.00021402476674303728,0.01217600574952137,1,Bullish
2015-08-14,40.82807540893555,0.005777932311219924,0.012392769241375612,1,Bullish
2015-08-17,41.10605239868164,0.0068084764457267966,0.011271682551446961,1,Bullish
2015-08-18,41.333396911621094,0.005530682215223903,0.0029916363567396367,1,Bullish
2015-08-19,40.756290435791016,-0.01396223197101476,0.008692122761320009,1,Bullish
2015-08-20,39.92559814453125,-0.02038194061278642,0.012923158362996285,0,Neutral
2015-08-21,37.66086959838867,-0.056723722408471566,0.025813025399211553,2,Bearish
2015-08-24,36.445438385009766,-0.032273052277871694,0.02304471060386106,2,Bearish
2015-08-25,35.38740158081055,-0.029030705928739686,0.016346679777311947,2,Bearish
2015-08-26,37.3460807800293,0.055349619122102345,0.04242973653247111,2,Bearish
2015-08-27,38.386634826660156,0.02786246976650064,0.04663525418651068,2,Bearish
2015-08-28,38.41286087036133,0.0006832076794331954,0.0374920678281695,2,Bearish
2015-08-31,38.05436325073242,-0.009332749800614715,0.03299854819046673,2,Bearish
2015-09-01,36.56786346435547,-0.03906253210920152,0.036060004702789146,2,Bearish
2015-09-02,37.91445541381836,0.036824463391892825,0.030365183865824666,2,Bearish
2015-09-03,38.036861419677734,0.0032284785452769693,0.027240503495152623,2,Bearish
2015-09-04,37.2586555480957,-0.020459255641408935,0.02842587101066056,2,Bearish
2015-09-08,38.37789535522461,0.030039726089529095,0.032368824413209485,2,Bearish
2015-09-09,37.66086959838867,-0.01868330063957835,0.026668869033608673,2,Bearish
2015-09-10,37.853248596191406,0.005108193195065391,0.020654486918126942,0,Neutral
2015-09-11,38.01939392089844,0.004389195930828205,0.02070844967042492,0,Neutral
2015-09-14,37.634647369384766,-0.010119744473416903,0.018548414494065253,0,Neutral
2015-09-15,38.456581115722656,0.021839815271034624,0.015592680719259587,0,Neutral
2015-09-16,38.73640060424805,0.007276244544031751,0.011350230545293927,0,Neutral
