Ticker,,,,,
stock,AAPL,AMZN,GOOG,MSFT,NFLX
Date,,,,,
2018-05-21,Bearish,Bullish,Bullish,Bullish,Neutral
2018-05-22,Bearish,Bullish,Bullish,Bullish,Neutral
2018-05-23,Bearish,Bullish,Bullish,Bullish,Neutral
2018-05-24,Bearish,Bullish,Bullish,Bullish,Neutral
2018-05-25,Bearish,Bullish,Bullish,Bullish,Neutral
2018-05-29,Bearish,Bullish,Bullish,Bullish,Neutral
2018-05-30,Bearish,Bullish,Bullish,Bullish,Neutral
2018-05-31,Bearish,Bullish,Bullish,Bullish,Neutral
2018-06-01,Bearish,Bullish,Neutral,Bullish,Neutral
2018-06-04,Bearish,Bullish,Neutral,Bullish,Neutral
2018-06-05,Bearish,Bullish,Neutral,Bullish,Neutral
2018-06-06,Bearish,Bearish,Neutral,Bullish,Neutral
2018-06-07,Bearish,Bearish,Neutral,Bullish,Neutral
2018-06-08,Bearish,Bearish,Bullish,Bullish,Neutral
2018-06-11,Bearish,Bullish,Bullish,Bullish,Neutral
2018-06-12,Bearish,Bullish,Bullish,Bullish,Neutral
2018-06-13,Bearish,Bullish,Bullish,Bullish,Neutral
2018-06-14,Bearish,Bullish,Bullish,Bullish,Neutral
2018-06-15,Bearish,Bearish,Bullish,Bullish,Neutral
2018-06-18,Bearish,Bullish,Bullish,Bullish,Neutral
2018-06-19,Bearish,Bullish,Bullish,Bullish,Neutral
2018-06-20,Bearish,Bullish,Bullish,Bullish,Neutral
2018-06-21,Bearish,Bearish,Bullish,Bullish,Neutral
2018-06-22,Bearish,Bearish,Bullish,Bullish,Neutral
2018-06-25,Bearish,Bearish,Bullish,Bullish,Bearish
2018-06-26,Bearish,Bullish,Bullish,Bullish,Bearish
2018-06-27,Bearish,Bearish,Bullish,Bullish,Bearish
2018-06-28,Bearish,Bullish,Bullish,Bullish,Bearish
2018-06-29,Bearish,Bearish,Bullish,Bullish,Bearish
2018-07-02,Bearish,Bearish,Bullish,Bullish,Bearish
2018-07-03,Bearish,Bearish,Neutral,Bullish,Neutral
2018-07-05,Bearish,Bearish,Neutral,Bullish,Neutral
2018-07-06,Bearish,Bullish,Neutral,Bullish,Neutral
2018-07-09,Bearish,Bullish,Neutral,Bullish,Neutral
2018-07-10,Bearish,Bearish,Neutral,Bullish,Neutral
2018-07-11,Bearish,Bullish,Bullish,Bullish,Neutral
2018-07-12,Bullish,Bullish,Bullish,Bullish,Neutral
2018-07-13,Bearish,Bullish,Bullish,Bullish,Bearish
2018-07-16,Bearish,Bullish,Bullish,Bullish,Bearish
2018-07-17,Bearish,Bullish,Bullish,Bullish,Bearish
2018-07-18,Bearish,Bearish,Bullish,Bullish,Bearish
2018-07-19,Bearish,Bearish,Bullish,Bullish,Bearish
2018-07-20,Bearish,Bearish,Bullish,Bullish,Bearish
2018-07-23,Bearish,Bearish,Bullish,Bullish,Neutral
2018-07-24,Bearish,Bullish,Neutral,Bullish,Neutral
2018-07-25,Bearish,Bullish,Neutral,Neutral,Neutral
2018-07-26,Bearish,Bearish,Neutral,Neutral,Neutral
2018-07-27,Bearish,Bearish,Neutral,Neutral,Neutral
2018-07-30,Bearish,Bearish,Neutral,Neutral,Bearish
2018-07-31,Bearish,Bearish,Neutral,Neutral,Bearish
2018-08-01,Neutral,Bullish,Bullish,Bullish,Bearish
2018-08-02,Neutral,Bullish,Bullish,Bullish,Bearish
2018-08-03,Neutral,Bearish,Bullish,Bullish,Bearish
2018-08-06,Neutral,Bullish,Bullish,Bullish,Neutral
2018-08-07,Neutral,Bullish,Bullish,Bullish,Neutral
2018-08-08,Bearish,Bullish,Bullish,Bullish,Neutral
2018-08-09,Bearish,Bullish,Bullish,Bullish,Neutral
2018-08-10,Bearish,Bearish,Bullish,Bullish,Neutral
2018-08-13,Bearish,Bullish,Bullish,Bullish,Neutral
2018-08-14,Bearish,Bullish,Bullish,Bullish,Neutral
2018-08-15,Bearish,Bearish,Bullish,Bullish,Neutral
2018-08-16,Bearish,Bearish,Bullish,Bullish,Neutral
2018-08-17,Bearish,Bearish,Bullish,Bullish,Neutral
2018-08-20,Bearish,Bearish,Bullish,Bullish,Bearish
2018-08-21,Bearish,Bullish,Bullish,Bullish,Bearish
2018-08-22,Bearish,Bullish,Bullish,Bullish,Bearish
2018-08-23,Bearish,Bullish,Bullish,Bullish,Bearish
2018-08-24,Bearish,Bullish,Bullish,Bullish,Bearish
2018-08-27,Bearish,Bullish,Bullish,Bullish,Bearish
2018-08-28,Bearish,Bullish,Bullish,Bullish,Bearish
2018-08-29,Bearish,Bullish,Bullish,Bullish,Bearish
2018-08-30,Bearish,Bearish,Bullish,Bullish,Neutral
2018-08-31,Bearish,Bearish,Bullish,Bullish,Neutral
2018-09-04,Bearish,Bullish,Bullish,Bullish,Neutral
2018-09-05,Bearish,Bearish,Bullish,Neutral,Bearish
2018-09-06,Bearish,Bearish,Bullish,Neutral,Bearish
2018-09-07,Bearish,Bearish,Bullish,Neutral,Bearish
2018-09-10,Bearish,Bearish,Bullish,Neutral,Bearish
2018-09-11,Bullish,Bullish,Bullish,Neutral,Bearish
2018-09-12,Bearish,Bearish,Bullish,Bullish,Bearish
2018-09-13,Bullish,Bearish,Bullish,Bullish,Bearish
2018-09-14,Bearish,Bearish,Bullish,Bullish,Bearish
2018-09-17,Bearish,Bearish,Bullish,Bullish,Bearish
2018-09-18,Bearish,Bullish,Bullish,Bullish,Bearish
2018-09-19,Bearish,Bearish,Bullish,Bullish,Bearish
2018-09-20,Bearish,Bearish,Bullish,Bullish,Bearish
2018-09-21,Bearish,Bearish,Bullish,Bullish,Bearish
2018-09-24,Bearish,Bullish,Bullish,Bullish,Bearish
2018-09-25,Bearish,Bullish,Bullish,Bullish,Neutral
2018-09-26,Bearish,Bearish,Bullish,Bullish,Neutral
